Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
20,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
60,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
240,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
480,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
1200,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
3000,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
5000,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
12000,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
28000,0.021,0.021,0.06,0.11,0.21,0.51,0.0021,1.4,-500
